"UserName","Name","Service","Host"
"PHL-L-G5504333$","PHL-L-G5504333","RestrictedKrbHost","PHL-L-G5504333.solomonedwards.com,PHL-L-G5504333"
"PHL-L-G5504333$","PHL-L-G5504333","HOST","PHL-L-G5504333.solomonedwards.com,PHL-L-G5504333"
"C-VBARTON$","C-VBARTON","HOST","C-VBARTON,C-VBarton.solomonedwards.com"
"C-SPARE8$","C-SPARE8","HOST","C-SPARE8,C-Spare8.solomonedwards.com"
"C-SPARE7$","C-SPARE7","HOST","C-SPARE7,C-Spare7.solomonedwards.com"
"PHL-L-G5500178P$","PHL-L-G5500178P","TERMSRV","PHL-L-G5500178P,PHL-L-G5500178P.solomonedwards.com"
"PHL-L-G5500178P$","PHL-L-G5500178P","RestrictedKrbHost","PHL-L-G5500178P,PHL-L-G5500178P.solomonedwards.com"
"PHL-L-G5500178P$","PHL-L-G5500178P","HOST","PHL-L-G5500178P,PHL-L-G5500178P.solomonedwards.com"
"C-SPARE1$","C-SPARE1","HOST","C-SPARE1,C-Spare1.solomonedwards.com"
"C-PHL-RGUILFOYL$","C-PHL-RGUILFOYL","HOST","C-PHL-RGuilfoyle.solomonedwards.com,C-PHL-RGUILFOYL"
"PHL-L-EDGEG3KM$","PHL-L-EDGEG3KM","RestrictedKrbHost","PHL-L-EDGEG3KM,PHL-L-EDGEG3KM.solomonedwards.com"
"PHL-L-EDGEG3KM$","PHL-L-EDGEG3KM","HOST","PHL-L-EDGEG3KM,PHL-L-EDGEG3KM.solomonedwards.com"
"C-MGRANT$","C-MGRANT","HOST","c-mgrant.solomonedwards.com,C-MGRANT"
"CHIC-SHARED$","CHIC-SHARED","HOST","CHIC-SHARED.solomonedwards.com,CHIC-SHARED"
"PHL-L-EDGEEXRTM$","PHL-L-EDGEEXRTM","RestrictedKrbHost","PHL-L-EDGEEXRTM,PHL-L-EDGEEXRTM.solomonedwards.com"
"PHL-L-EDGEEXRTM$","PHL-L-EDGEEXRTM","HOST","PHL-L-EDGEEXRTM,PHL-L-EDGEEXRTM.solomonedwards.com"
"CHIC-L-TEM3921H$","CHIC-L-TEM3921H","HOST","CHIC-L-TEM3921H.solomonedwards.com,CHIC-L-TEM3921H"
"CHIC-L-TEM2835P$","CHIC-L-TEM2835P","HOST","CHIC-L-TEM2835P.solomonedwards.com,CHIC-L-TEM2835P"
"PHL-L-EDGE0VT2$","PHL-L-EDGE0VT2","RestrictedKrbHost","PHL-L-EDGE0VT2,PHL-L-EDGE0VT2.solomonedwards.com"
"PHL-L-EDGE0VT2$","PHL-L-EDGE0VT2","HOST","PHL-L-EDGE0VT2,PHL-L-EDGE0VT2.solomonedwards.com"
"CHIC-L-R61I2695$","CHIC-L-R61I2695","HOST","CHIC-L-R61I2695.solomonedwards.com,CHIC-L-R61I2695"
"PHL-L-E4207Z3R$","PHL-L-E4207Z3R","RestrictedKrbHost","PHL-L-E4207Z3R,PHL-L-E4207Z3R.solomonedwards.com"
"PHL-L-E4207Z3R$","PHL-L-E4207Z3R","HOST","PHL-L-E4207Z3R,PHL-L-E4207Z3R.solomonedwards.com"
"PHLL-C-61100NY5$","PHLL-C-61100NY5","HOST","PHLL-C-61100NY5,PHLL-C-61100NY5.solomonedwards.com"
"CHIC-L-64926572$","CHIC-L-64926572","TERMSRV","CHIC-L-64926572.solomonedwards.com,CHIC-L-64926572"
"CHIC-L-64926572$","CHIC-L-64926572","RestrictedKrbHost","CHIC-L-64926572,CHIC-L-64926572.solomonedwards.com"
"CHIC-L-64926572$","CHIC-L-64926572","HOST","CHIC-L-64926572,CHIC-L-64926572.solomonedwards.com"
"CHI-ABSO$","CHI-ABSO","HOST","CHI-ABSO.solomonedwards.com,CHI-ABSO"
"CHCC-L-61001HR5$","CHCC-L-61001HR5","HOST","CHCC-L-61001HR5,CHCC-L-61001HR5.solomonedwards.com"
"PHL-L-6492380A$","PHL-L-6492380A","TERMSRV","PHL-L-6492380A.solomonedwards.com,PHL-L-6492380A"
"PHL-L-6492380A$","PHL-L-6492380A","RestrictedKrbHost","PHL-L-6492380A,PHL-L-6492380A.solomonedwards.com"
"PHL-L-6492380A$","PHL-L-6492380A","HOST","PHL-L-6492380A,PHL-L-6492380A.solomonedwards.com"
"BOSC-L-TCM5234H$","BOSC-L-TCM5234H","HOST","BOSC-L-TCM5234H.solomonedwards.com,BOSC-L-TCM5234H"
"PHL-L-61200T6W$","PHL-L-61200T6W","HOST","PHL-L-61200T6W.solomonedwards.com,PHL-L-61200T6W"
"BOSC-L-N100G872$","BOSC-L-N100G872","HOST","BOSC-L-N100G872.solomonedwards.com,BOSC-L-N100G872"
"PHL-L-612001NS$","PHL-L-612001NS","HOST","phl-l-612001ns.solomonedwards.com,PHL-L-612001NS"
"BOSC-L-61251374$","BOSC-L-61251374","HOST","BOSC-L-61251374.solomonedwards.com,BOSC-L-61251374"
"PHL-L-611017BV$","PHL-L-611017BV","HOST","phl-l-611017BV.solomonedwards.com,PHL-L-611017BV"
"BILLSMAC$","BILLSMAC","HOST","BILLSMAC,BillsMac.solomonedwards.com"
"PHL-L-61100YHQ$","PHL-L-61100YHQ","HOST","PHL-L-61100YHQ,phl-l-61100yhq.solomonedwards.com"
"ATLT-L-90101K59$","ATLT-L-90101K59","HOST","ATLT-L-90101K59,ATLT-L-90101K59.solomonedwards.com"
"PHL-L-61100P1N$","PHL-L-61100P1N","HOST","PHL-L-61100P1N,phl-l-61100p1n.solomonedwards.com"
"PHL-L-5503703$","PHL-L-5503703","HOST","PHL-L-5503703,PHL-L-5503703.solomonedwards.com"
"ATLTEST$","ATLTEST","SMTPSVC","atltest.solomonedwards.com,ATLTEST"
"ATLTEST$","ATLTEST","HOST","atltest.solomonedwards.com,ATLTEST"
"PHL-L-5503576$","PHL-L-5503576","MSSQLSvc","phl-l-5503576.solomonedwards.com,phl-l-5503576.solomonedwards.com:5356"
"PHL-L-5503576$","PHL-L-5503576","HOST","PHL-L-5503576,phl-l-5503576.solomonedwards.com"
"PHL-L-3VBN$","PHL-L-3VBN","HOST","PHL-L-3VBN,PHL-L-3VBN.solomonedwards.com"
"ATLC-L-G5504110$","ATLC-L-G5504110","MSSQLSvc","atlc-l-g5504110.solomonedwards.com:SQLEXPRESS"
"ATLC-L-G5504110$","ATLC-L-G5504110","TERMSRV","ATLC-L-G5504110,atlc-l-g5504110.solomonedwards.com"
"ATLC-L-G5504110$","ATLC-L-G5504110","RestrictedKrbHost","ATLC-L-G5504110,atlc-l-g5504110.solomonedwards.com"
"ATLC-L-G5504110$","ATLC-L-G5504110","HOST","ATLC-L-G5504110,atlc-l-g5504110.solomonedwards.com"
"ATLC-L-C110M000$","ATLC-L-C110M000","HOST","ATLC-L-C110M000.solomonedwards.com,ATLC-L-C110M000"
"PHL-L-3A116492$","PHL-L-3A116492","TERMSRV","PHL-L-3A116492.solomonedwards.com,PHL-L-3A116492"
"PHL-L-3A116492$","PHL-L-3A116492","RestrictedKrbHost","PHL-L-3A116492,PHL-L-3A116492.solomonedwards.com"
"PHL-L-3A116492$","PHL-L-3A116492","HOST","PHL-L-3A116492,PHL-L-3A116492.solomonedwards.com"
"PHLI-TEST$","PHLI-TEST","HOST","PHLI-TEST.solomonedwards.com,PHLI-TEST"
"A-PC12$","A-PC12","TERMSRV","A-PC12.solomonedwards.com,A-PC12"
"A-PC12$","A-PC12","HOST","A-PC12,A-PC12.solomonedwards.com"
"PHLISM01$","PHLISM01","MSSQLSvc","phlism01.solomonedwards.com:1433"
"PHLISM01$","PHLISM01","HOST","PHLISM01,phlism01.solomonedwards.com"
"DCA-L-5303P4G$","DCA-L-5303P4G","TERMSRV","dca-l-5303p4g.solomonedwards.com,DCA-L-5303P4G"
"DCA-L-5303P4G$","DCA-L-5303P4G","HOST","dca-l-5303p4g.solomonedwards.com,DCA-L-5303P4G"
"PHLI-L-S330321H$","PHLI-L-S330321H","HOST","PHLI-L-S330321H,phli-l-s330321h.solomonedwards.com"
"PHLH-L-2847RGL6$","PHLH-L-2847RGL6","HOST","PHLH-L-2847RGL6,PHLH-L-2847RGL6.solomonedwards.com"
"PHLI-L-E520NERR$","PHLI-L-E520NERR","TERMSRV","PHLI-L-E520NERR.solomonedwards.com,PHLI-L-E520NERR"
"PHLI-L-E520NERR$","PHLI-L-E520NERR","RestrictedKrbHost","PHLI-L-E520NERR,PHLI-L-E520NERR.solomonedwards.com"
"PHLI-L-E520NERR$","PHLI-L-E520NERR","HOST","PHLI-L-E520NERR,PHLI-L-E520NERR.solomonedwards.com"
"PHLC-L-44402B5B$","PHLC-L-44402B5B","TERMSRV","PHLC-L-44402B5B.solomonedwards.com,PHLC-L-44402B5B"
"PHLC-L-44402B5B$","PHLC-L-44402B5B","RestrictedKrbHost","PHLC-L-44402B5B,PHLC-L-44402B5B.solomonedwards.com"
"PHLC-L-44402B5B$","PHLC-L-44402B5B","HOST","PHLC-L-44402B5B,PHLC-L-44402B5B.solomonedwards.com"
"PHLI-L-90301S8S$","PHLI-L-90301S8S","HOST","PHLI-L-90301S8S,phli-l-90301s8s.solomonedwards.com"
"PHLI-L-9030035G$","PHLI-L-9030035G","HOST","PHLI-L-9030035G,phli-l-9030035g.solomonedwards.com"
"PHLI-L-903002ZZ$","PHLI-L-903002ZZ","HOST","PHLI-L-903002ZZ,phli-l-903002zz.solomonedwards.com"
"PHLA-L-64503374$","PHLA-L-64503374","TERMSRV","PHLA-L-64503374,PHLA-L-64503374.solomonedwards.com"
"PHLA-L-64503374$","PHLA-L-64503374","RestrictedKrbHost","PHLA-L-64503374,PHLA-L-64503374.solomonedwards.com"
"PHLA-L-64503374$","PHLA-L-64503374","HOST","PHLA-L-64503374,PHLA-L-64503374.solomonedwards.com"
"PHLI-L-6125137S$","PHLI-L-6125137S","HOST","PHLI-L-6125137S,phli-l-6125137s.solomonedwards.com"
"DCC-L-4440041S$","DCC-L-4440041S","TERMSRV","DCC-L-4440041S.solomonedwards.com,DCC-L-4440041S"
"DCC-L-4440041S$","DCC-L-4440041S","RestrictedKrbHost","DCC-L-4440041S.solomonedwards.com,DCC-L-4440041S"
"DCC-L-4440041S$","DCC-L-4440041S","HOST","DCC-L-4440041S.solomonedwards.com,DCC-L-4440041S"
"PHLI-L-61250VV8$","PHLI-L-61250VV8","MSSQLSvc","PHLI-L-61250VV8.solomonedwards.com:1433"
"PHLI-L-61250VV8$","PHLI-L-61250VV8","vmrc","PHLI-L-61250VV8.solomonedwards.com:5900,PHLI-L-61250VV8:5900"
"PHLI-L-61250VV8$","PHLI-L-61250VV8","vssrvc","PHLI-L-61250VV8.solomonedwards.com,PHLI-L-61250VV8"
"PHLI-L-61250VV8$","PHLI-L-61250VV8","SMTPSVC","PHLI-L-61250VV8,PHLI-L-61250VV8.solomonedwards.com"
"PHLI-L-61250VV8$","PHLI-L-61250VV8","HOST","PHLI-L-61250VV8,PHLI-L-61250VV8.solomonedwards.com"
"HOUC-L-4440041S$","HOUC-L-4440041S","TERMSRV","HOUC-L-4440041S,HOUC-L-4440041S.solomonedwards.com"
"HOUC-L-4440041S$","HOUC-L-4440041S","RestrictedKrbHost","HOUC-L-4440041S,HOUC-L-4440041S.solomonedwards.com"
"HOUC-L-4440041S$","HOUC-L-4440041S","HOST","HOUC-L-4440041S,HOUC-L-4440041S.solomonedwards.com"
"PHLI-L-612016X0$","PHLI-L-612016X0","HOST","PHLI-L-612016X0,phli-l-612016x0.solomonedwards.com"
"VXP1085$","VXP1085","HOST","VXP1085.solomonedwards.com,VXP1085"
"PHLI-L-6110292Q$","PHLI-L-6110292Q","HOST","PHLI-L-6110292Q,phli-l-6110292q.solomonedwards.com"
"PHLH-L-63100PMT$","PHLH-L-63100PMT","TERMSRV","phlh-l-63100pmt.solomonedwards.com,PHLH-L-63100PMT"
"PHLH-L-63100PMT$","PHLH-L-63100PMT","HOST","phlh-l-63100pmt.solomonedwards.com,PHLH-L-63100PMT"
"PHLH-D-D22004F4$","PHLH-D-D22004F4","MSSQLSvc","PHLH-D-d22004F4.solomonedwards.com"
"PHLH-D-D22004F4$","PHLH-D-D22004F4","HOST","PHLH-D-d22004F4.solomonedwards.com,PHLH-D-D22004F4"
"PHLAPP01$","PHLAPP01","sp","c2wts"
"PHLAPP01$","PHLAPP01","WSMAN","PHLAPP01,PHLAPP01.solomonedwards.com"
"PHLAPP01$","PHLAPP01","TERMSRV","PHLAPP01,PHLAPP01.solomonedwards.com"
"PHLAPP01$","PHLAPP01","RestrictedKrbHost","PHLAPP01,PHLAPP01.solomonedwards.com"
"PHLAPP01$","PHLAPP01","HOST","PHLAPP01,PHLAPP01.solomonedwards.com"
"PHLG-L-901017PN$","PHLG-L-901017PN","HOST","PHLG-L-901017PN,phlg-l-901017pn.solomonedwards.com"
"VIRTUALXP-52160$","VIRTUALXP-52160","HOST","VIRTUALXP-52160,VirtualXP-52160.solomonedwards.com"
"PHLEXGW0Z$","PHLEXGW0Z","HOST","PHLEXGW0Z,phlexgw0z.solomonedwards.com"
"PHLE-MAC-ED$","PHLE-MAC-ED","HOST","phle-mac-ed.solomonedwards.com,PHLE-MAC-ED"
"ATLC-L-64926572$","ATLC-L-64926572","TERMSRV","ATLC-L-64926572.solomonedwards.com,ATLC-L-64926572"
"ATLC-L-64926572$","ATLC-L-64926572","RestrictedKrbHost","ATLC-L-64926572.solomonedwards.com,ATLC-L-64926572"
"ATLC-L-64926572$","ATLC-L-64926572","HOST","ATLC-L-64926572.solomonedwards.com,ATLC-L-64926572"
"PHLE-L-TECR520H$","PHLE-L-TECR520H","HOST","PHLE-L-TECR520H,phle-l-tecr520h.solomonedwards.com"
"PHLDSS01$","PHLDSS01","HOST","PHLDSS01,phldss01.solomonedwards.com"
"PHLD-R-S280EK02$","PHLD-R-S280EK02","HOST","PHLD-R-S280EK02,PHLD-R-S280EK02.solomonedwards.com"
"NYC-L-44400W4P$","NYC-L-44400W4P","TERMSRV","NYC-L-44400W4P,NYC-L-44400W4P.solomonedwards.com"
"NYC-L-44400W4P$","NYC-L-44400W4P","RestrictedKrbHost","NYC-L-44400W4P,NYC-L-44400W4P.solomonedwards.com"
"NYC-L-44400W4P$","NYC-L-44400W4P","HOST","NYC-L-44400W4P,NYC-L-44400W4P.solomonedwards.com"
"PHLD-R-S2802703$","PHLD-R-S2802703","HOST","PHLD-R-S2802703.solomonedwards.com,PHLD-R-S2802703"
"SEGITL3CP383$","SEGITL3CP383","HOST","SEGITL3CP383,SEGITL3CP383.solomonedwards.com"
"PHL-D-ACERS280$","PHL-D-ACERS280","HOST","PHL-D-ACERS280,PHL-D-ACERS280.solomonedwards.com"
"DFW-L-L510KYAE$","DFW-L-L510KYAE","TERMSRV","DFW-L-L510KYAE.solomonedwards.com,DFW-L-L510KYAE"
"DFW-L-L510KYAE$","DFW-L-L510KYAE","RestrictedKrbHost","DFW-L-L510KYAE,DFW-L-L510KYAE.solomonedwards.com"
"DFW-L-L510KYAE$","DFW-L-L510KYAE","HOST","DFW-L-L510KYAE,DFW-L-L510KYAE.solomonedwards.com"
"PHLCTRX01$","PHLCTRX01","HOST","phlctrx01.solomonedwards.com,PHLCTRX01"
"PHLCTRX01$","PHLCTRX01","NtFrs-88f5d2bd-b646-11d2-a6d3-00c04fc9b232","phlctrx01.solomonedwards.com"
"PHLC-L-TCM9831H$","PHLC-L-TCM9831H","HOST","PHLC-L-TCM9831H.solomonedwards.com,PHLC-L-TCM9831H"
"DJMTEST-PC$","DJMTEST-PC","RestrictedKrbHost","DJMTEST-PC,DJMTEST-PC.solomonedwards.com"
"DJMTEST-PC$","DJMTEST-PC","HOST","DJMTEST-PC,DJMTEST-PC.solomonedwards.com"
"PHLC-L-TCM3191H$","PHLC-L-TCM3191H","HOST","PHLC-L-TCM3191H.solomonedwards.com,PHLC-L-TCM3191H"
"PHLC-L-SL510ZNG$","PHLC-L-SL510ZNG","HOST","PHLC-L-SL510ZNG,phlc-l-sl510ZNG.solomonedwards.com"
"PHLC-L-8460B72P$","PHLC-L-8460B72P","TERMSRV","PHLC-L-8460B72P.solomonedwards.com,PHLC-L-8460B72P"
"PHLC-L-8460B72P$","PHLC-L-8460B72P","RestrictedKrbHost","PHLC-L-8460B72P.solomonedwards.com,PHLC-L-8460B72P"
"PHLC-L-8460B72P$","PHLC-L-8460B72P","HOST","PHLC-L-8460B72P.solomonedwards.com,PHLC-L-8460B72P"
"PHLC-L-SL510EZ1$","PHLC-L-SL510EZ1","HOST","phlc-l-sl510EZ1.solomonedwards.com,PHLC-L-SL510EZ1"
"PHLC-L-N100G061$","PHLC-L-N100G061","HOST","PHLC-L-N100G061.solomonedwards.com,PHLC-L-N100G061"
"PHLC-L-M9391H$","PHLC-L-M9391H","HOST","PHLC-L-M9391H,PHLC-L-M9391H.solomonedwards.com"
"PHLC-L-L510XWAH$","PHLC-L-L510XWAH","TERMSRV","PHLC-L-L510XWAH.solomonedwards.com,PHLC-L-L510XWAH"
"PHLC-L-L510XWAH$","PHLC-L-L510XWAH","RestrictedKrbHost","PHLC-L-L510XWAH,PHLC-L-L510XWAH.solomonedwards.com"
"PHLC-L-L510XWAH$","PHLC-L-L510XWAH","HOST","PHLC-L-L510XWAH,PHLC-L-L510XWAH.solomonedwards.com"
"PHLC-L-M300W433$","PHLC-L-M300W433","HOST","PHLC-L-M300W433.solomonedwards.com,PHLC-L-M300W433"
"PHLC-L-M300P06P$","PHLC-L-M300P06P","HOST","PHLC-L-M300P06P.solomonedwards.com,PHLC-L-M300P06P"
"PHLC-L-G55062E3$","PHLC-L-G55062E3","HOST","PHLC-L-G55062E3,phlc-l-g55062e3.solomonedwards.com"
"PHLC-L-L510GLFE$","PHLC-L-L510GLFE","TERMSRV","PHLC-L-L510GLFE,PHLC-L-L510GLFE.solomonedwards.com"
"PHLC-L-L510GLFE$","PHLC-L-L510GLFE","RestrictedKrbHost","PHLC-L-L510GLFE,PHLC-L-L510GLFE.solomonedwards.com"
"PHLC-L-L510GLFE$","PHLC-L-L510GLFE","HOST","PHLC-L-L510GLFE,PHLC-L-L510GLFE.solomonedwards.com"
"PHLC-L-E4207Z40$","PHLC-L-E4207Z40","TERMSRV","PHLC-L-E4207Z40.solomonedwards.com,PHLC-L-E4207Z40"
"PHLC-L-E4207Z40$","PHLC-L-E4207Z40","RestrictedKrbHost","PHLC-L-E4207Z40,PHLC-L-E4207Z40.solomonedwards.com"
"PHLC-L-E4207Z40$","PHLC-L-E4207Z40","HOST","PHLC-L-E4207Z40,PHLC-L-E4207Z40.solomonedwards.com"
"HOU-L-T420WKA5$","HOU-L-T420WKA5","TERMSRV","HOU-L-t420wka5.solomonedwards.com,HOU-L-T420WKA5"
"HOU-L-T420WKA5$","HOU-L-T420WKA5","RestrictedKrbHost","HOU-L-T420WKA5,HOU-L-T420WKA5.solomonedwards.com"
"HOU-L-T420WKA5$","HOU-L-T420WKA5","HOST","HOU-L-T420WKA5,HOU-L-T420WKA5.solomonedwards.com"
"PHLC-L-A20213P$","PHLC-L-A20213P","HOST","phlc-l-a20213p.solomonedwards.com,PHLC-L-A20213P"
"SEG-SBA005REV00$","SEG-SBA005REV00","HOST","SEG-SBA005REV00,SEG-SBA005REV003.solomonedwards.com"
"PHLC-L-A20102P$","PHLC-L-A20102P","HOST","phlc-l-a20102p.solomonedwards.com,PHLC-L-A20102P"
"PHLC-L-90301SB5$","PHLC-L-90301SB5","HOST","PHLC-L-90301SB5.solomonedwards.com,PHLC-L-90301SB5"
"PHLC-L90301SB5$","PHLC-L90301SB5","HOST","phlc-l90301sb5.solomonedwards.com,PHLC-L90301SB5"
"HOUC-L-L510RDV2$","HOUC-L-L510RDV2","TERMSRV","HOUC-L-L510RDV2.solomonedwards.com,HOUC-L-L510RDV2"
"HOUC-L-L510RDV2$","HOUC-L-L510RDV2","RestrictedKrbHost","HOUC-L-L510RDV2,HOUC-L-L510RDV2.solomonedwards.com"
"HOUC-L-L510RDV2$","HOUC-L-L510RDV2","HOST","HOUC-L-L510RDV2,HOUC-L-L510RDV2.solomonedwards.com"
"PHLC-L-90301S8S$","PHLC-L-90301S8S","HOST","PHLC-L-90301S8S.solomonedwards.com,PHLC-L-90301S8S"
"PHLC-L-903003DL$","PHLC-L-903003DL","HOST","phlc-l-903003dl.solomonedwards.com,PHLC-L-903003DL"
"PHLC-L-903003CM$","PHLC-L-903003CM","HOST","PHLC-L-903003CM,PHLC-L-903003CM.solomonedwards.com"
"PHLA-L-EDGENERW$","PHLA-L-EDGENERW","TERMSRV","PHLA-L-EdgeNERW.solomonedwards.com,PHLA-L-EDGENERW"
"PHLA-L-EDGENERW$","PHLA-L-EDGENERW","RestrictedKrbHost","PHLA-L-EDGENERW,PHLA-L-EDGENERW.solomonedwards.com"
"PHLA-L-EDGENERW$","PHLA-L-EDGENERW","HOST","PHLA-L-EDGENERW,PHLA-L-EDGENERW.solomonedwards.com"
"PHLC-L-9030036B$","PHLC-L-9030036B","HOST","PHLC-L-9030036B,PHLC-L-9030036B.solomonedwards.com"
"DCI-SBASL510VKP$","DCI-SBASL510VKP","HOST","DCI-SBASL510VKP,DCI-SBASL510VKPD.solomonedwards.com"
"PHLC-L-9030035G$","PHLC-L-9030035G","HOST","PHLC-L-9030035G,phlc-l-9030035g.solomonedwards.com"
"PHLC-L-9030034N$","PHLC-L-9030034N","HOST","PHLC-L-9030034N.solomonedwards.com,PHLC-L-9030034N"
"PHLC-L-9030032C$","PHLC-L-9030032C","HOST","phlc-l-9030032c.solomonedwards.com,PHLC-L-9030032C"
"DCC-L-444016Z1$","DCC-L-444016Z1","TERMSRV","DCC-L-444016Z1.solomonedwards.com,DCC-L-444016Z1"
"DCC-L-444016Z1$","DCC-L-444016Z1","RestrictedKrbHost","DCC-L-444016Z1.solomonedwards.com,DCC-L-444016Z1"
"DCC-L-444016Z1$","DCC-L-444016Z1","HOST","DCC-L-444016Z1.solomonedwards.com,DCC-L-444016Z1"
"SBA-L-SL510VLTF$","SBA-L-SL510VLTF","HOST","SBA-L-SL510VLTF,SBA-L-SL510VLTF.solomonedwards.com"
"PHLC-L-90300306$","PHLC-L-90300306","MSSQLSvc","phlc-l-90300306.solomonedwards.com:2201"
"PHLC-L-90300306$","PHLC-L-90300306","HOST","phlc-l-90300306.solomonedwards.com,PHLC-L-90300306"
"SBA-L-SL510CVLG$","SBA-L-SL510CVLG","HOST","SBA-L-SL510CVLG,SBA-L-SL510CVLGX.solomonedwards.com"
"PHLC-L-90101N1P$","PHLC-L-90101N1P","HOST","phlc-l-90101n1p.solomonedwards.com,PHLC-L-90101N1P"
"PHL-L-6100V0S$","PHL-L-6100V0S","HOST","phl-l-6100v0s.solomonedwards.com,PHL-L-6100V0S"
"PHLH-L-L510BAV4$","PHLH-L-L510BAV4","HOST","PHLH-L-L510BAV4.solomonedwards.com,PHLH-L-L510BAV4"
"PHLC-L-90101K59$","PHLC-L-90101K59","MSSQLSvc","phlc-l-90101k59.solomonedwards.com:1433,phlc-l-90101k59.solomonedwards.com:1101,phlc-l-90101k59.solomonedwards.com:1091,phlc-l-90101k59.solomonedwards.com:1097"
"PHLC-L-90101K59$","PHLC-L-90101K59","HOST","phlc-l-90101k59.solomonedwards.com,PHLC-L-90101K59"
"RICDCISBA004BAT$","RICDCISBA004BAT","HOST","RICDCISBA004BAT,RICDCIsba004BAT5.solomonedwards.com"
"PHLCL90101FX9$","PHLCL90101FX9","HOST","phlcl90101fx9.solomonedwards.com,PHLCL90101FX9"
"PHLC-L-901017SK$","PHLC-L-901017SK","HOST","PHLC-L-901017SK,PHLC-L-901017SK.solomonedwards.com"
"PHLC-L-901013P1$","PHLC-L-901013P1","HOST","phlc-l-901013p1.solomonedwards.com,PHLC-L-901013P1"
"PHLH-L-G5509222$","PHLH-L-G5509222","TERMSRV","PHLH-L-G5509222.solomonedwards.com,PHLH-L-G5509222"
"PHLH-L-G5509222$","PHLH-L-G5509222","RestrictedKrbHost","PHLH-L-G5509222.solomonedwards.com,PHLH-L-G5509222"
"PHLH-L-G5509222$","PHLH-L-G5509222","HOST","PHLH-L-G5509222.solomonedwards.com,PHLH-L-G5509222"
"PHLC-L-901013NX$","PHLC-L-901013NX","HOST","PHLC-L-901013NX,phlc-l-901013nx.solomonedwards.com"
"PHLC-L-90101343$","PHLC-L-90101343","HOST","PHLC-L-90101343,phlc-l-90101343.solomonedwards.com"
"PHLC-L-90100WMD$","PHLC-L-90100WMD","HOST","PHLC-L-90100WMD.solomonedwards.com,PHLC-L-90100WMD"
"PHLC-L-L510AEHP$","PHLC-L-L510AEHP","TERMSRV","PHLC-L-L510AEHP.solomonedwards.com,PHLC-L-L510AEHP"
