"Name","AdminCount","GroupCategory","GroupScope","ManagedBy","SID","SIDHistory","Description","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"Terminal Server License Servers","","Security","DomainLocal","","S-1-5-32-561","","Terminal Server License Servers","7/23/2008 6:42:24 PM","5/13/2021 2:39:17 PM","CN=Terminal Server License Servers,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Terminal Server License Servers"
"Group Policy Creator Owners","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-520","","Members in this group can modify group policy for the domain","6/22/2001 1:20:02 AM","5/13/2021 2:39:17 PM","CN=Group Policy Creator Owners,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Group Policy Creator Owners"
"Hygiene Management","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-30401","","Members of this management role group can manage Exchange anti-spam features and grant permissions for antivirus products to integrate with Exchange.","11/15/2016 4:16:42 PM","5/13/2021 2:40:26 PM","CN=Hygiene Management,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Hygiene Management"
"Certificate Service DCOM Access","","Security","DomainLocal","","S-1-5-32-574","","Members of this group are allowed to connect to Certification Authorities in the enterprise","2/15/2012 9:44:21 PM","5/13/2021 2:39:17 PM","CN=Certificate Service DCOM Access,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Certificate Service DCOM Access"
"Compliance Management","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-28368","","This role group will allow a specified user, responsible for compliance, to properly configure and manage compliance settings within Exchange in accordance with their policy.","12/20/2017 5:37:42 PM","5/13/2021 2:40:26 PM","CN=Compliance Management,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Compliance Management"
"Distributed COM Users","","Security","DomainLocal","","S-1-5-32-562","","Members are allowed to launch, activate and use Distributed COM objects on this machine.","7/23/2008 6:42:24 PM","5/13/2021 2:39:17 PM","CN=Distributed COM Users,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Distributed COM Users"
"Enterprise Read-only Domain Controllers","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-498","","Members of this group are Read-Only Domain Controllers in the enterprise","2/15/2012 9:44:21 PM","5/13/2021 2:39:17 PM","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Enterprise Read-only Domain Controllers"
"Security Reader","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-28369","","Membership in this role group is synchronized across services and managed centrally. This role group is not manageable through the administrator portals. Members of this role group may include cross-service administrators, as well as external partner groups and Microsoft Support. By default, this group may not be assigned any roles. However, it will be a member of the Security Reader role groups and will inherit the capabilities of that role group.","12/20/2017 5:37:42 PM","5/13/2021 2:40:26 PM","CN=Security Reader,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Security Reader"
"RAS and IAS Servers","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-553","","Servers in this group can access remote access properties of users","6/22/2001 1:20:02 AM","5/13/2021 2:39:17 PM","CN=RAS and IAS Servers,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/RAS and IAS Servers"
"Security Administrator","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-28370","","Membership in this role group is synchronized across services and managed centrally. This role group is not manageable through the administrator portals. Members of this role group may include cross-service administrators, as well as external partner groups and Microsoft Support. By default, this group may not be assigned any roles. However, it will be a member of the Security Administrators role groups and will inherit the capabilities of that role group.","12/20/2017 5:37:42 PM","5/13/2021 2:40:26 PM","CN=Security Administrator,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Security Administrator"
"Enterprise Admins","1","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-519","","Designated administrators of the enterprise","6/22/2001 1:20:02 AM","4/7/2025 5:00:45 PM","CN=Enterprise Admins,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Enterprise Admins"
"Managed Availability Servers","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-28371","","This group contains all the Managed Availability servers. This group shouldn't be deleted.","12/20/2017 5:37:42 PM","5/13/2021 2:40:51 PM","CN=Managed Availability Servers,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Managed Availability Servers"
"Backup Operators","1","Security","DomainLocal","","S-1-5-32-551","","Members can bypass file security to back up files","6/22/2001 1:20:03 AM","5/13/2021 2:39:17 PM","CN=Backup Operators,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Backup Operators"
"Windows Authorization Access Group","","Security","DomainLocal","","S-1-5-32-560","","Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects","7/23/2008 6:42:24 PM","5/13/2021 2:39:17 PM","CN=Windows Authorization Access Group,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Windows Authorization Access Group"
"Axiom1","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-24710","","Added ApplicationImpersonator role to the Axiom service account for a Concur process.","3/3/2016 7:16:06 PM","5/13/2021 2:40:23 PM","CN=Axiom,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Axiom"
"Remote Desktop Users","","Security","DomainLocal","","S-1-5-32-555","","Members in this group are granted the right to logon remotely","7/23/2008 6:42:23 PM","10/1/2025 1:58:01 PM","CN=Remote Desktop Users,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Remote Desktop Users"
"ZynBit1","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-34046","","ZynBit Service Account","2/19/2020 4:14:30 PM","5/13/2021 2:40:31 PM","CN=ZynBit,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/ZynBit"
"Administrators","1","Security","DomainLocal","","S-1-5-32-544","","Members can fully administer the computer/domain","6/22/2001 1:20:03 AM","1/23/2025 5:06:56 PM","CN=Administrators,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Administrators"
"Domain Guests","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-514","","All domain guests","6/22/2001 1:20:02 AM","5/13/2021 2:39:17 PM","CN=Domain Guests,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Domain Guests"
"Account Operators","1","Security","DomainLocal","","S-1-5-32-548","","Members can administer domain user and group accounts","6/22/2001 1:20:03 AM","3/10/2025 1:37:09 PM","CN=Account Operators,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Account Operators"
"Domain Computers","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-515","","All workstations and servers joined to the domain","6/22/2001 1:20:02 AM","5/13/2021 2:39:17 PM","CN=Domain Computers,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Domain Computers"
"Pre-Windows 2000 Compatible Access","","Security","DomainLocal","","S-1-5-32-554","","A backward compatibility group which allows read access on all users and groups in the domain","6/22/2001 1:20:03 AM","7/31/2023 11:12:52 PM","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Pre-Windows 2000 Compatible Access"
"Guests","","Security","DomainLocal","","S-1-5-32-546","","Users granted guest access to the computer/domain","6/22/2001 1:20:03 AM","5/13/2021 2:39:17 PM","CN=Guests,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Guests"
"Exchange Domain Servers","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-1277","","Microsoft Exchange Domain Servers group -- DO NOT move or rename","6/22/2001 1:20:02 AM","5/13/2021 2:40:33 PM","CN=Exchange Domain Servers,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Exchange Domain Servers"
"Network Configuration Operators","","Security","DomainLocal","","S-1-5-32-556","","Members in this group can have some administrative privileges to manage configuration of networking features","7/23/2008 6:42:23 PM","5/13/2021 2:39:17 PM","CN=Network Configuration Operators,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Network Configuration Operators"
"Cert Publishers","1","Security","Global","","S-1-5-21-1191714633-765097213-697575874-517","","Enterprise certification and renewal agents","6/22/2001 1:20:02 AM","7/31/2023 11:12:52 PM","CN=Cert Publishers,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Cert Publishers"
"Incoming Forest Trust Builders","","Security","DomainLocal","","S-1-5-32-557","","Members of this group can create incoming, one-way trusts to this forest","7/23/2008 6:42:23 PM","5/13/2021 2:39:17 PM","CN=Incoming Forest Trust Builders,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Incoming Forest Trust Builders"
"IIS_IUSRS","","Security","DomainLocal","","S-1-5-32-568","","Built-in group used by Internet Information Services.","2/15/2012 9:44:20 PM","5/13/2021 2:39:17 PM","CN=IIS_IUSRS,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/IIS_IUSRS"
"Performance Monitor Users","","Security","DomainLocal","","S-1-5-32-558","","Members of this group have remote access to monitor this computer","7/23/2008 6:42:24 PM","5/13/2021 2:39:17 PM","CN=Performance Monitor Users,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Performance Monitor Users"
"Cryptographic Operators","","Security","DomainLocal","","S-1-5-32-569","","Members are authorized to perform cryptographic operations.","2/15/2012 9:44:20 PM","5/13/2021 2:39:17 PM","CN=Cryptographic Operators,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Cryptographic Operators"
"Performance Log Users","","Security","DomainLocal","","S-1-5-32-559","","Members of this group have remote access to schedule logging of performance counters on this computer","7/23/2008 6:42:24 PM","5/13/2021 2:39:17 PM","CN=Performance Log Users,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Performance Log Users"
"RDS Remote Access Servers","","Security","DomainLocal","","S-1-5-32-575","","Servers in this group enable users of RemoteApp programs and personal virtual desktops access to these resources. In Internet-facing deployments, these servers are typically deployed in an edge network. This group needs to be populated on servers running RD Connection Broker. RD Gateway servers and RD Web Access servers used in the deployment need to be in this group.","2/12/2015 2:44:38 PM","5/13/2021 2:39:17 PM","CN=RDS Remote Access Servers,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/RDS Remote Access Servers"
"RDS Endpoint Servers","","Security","DomainLocal","","S-1-5-32-576","","Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group.","2/12/2015 2:44:38 PM","5/13/2021 2:39:17 PM","CN=RDS Endpoint Servers,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/RDS Endpoint Servers"
"RDS Management Servers","","Security","DomainLocal","","S-1-5-32-577","","Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group.","2/12/2015 2:44:38 PM","5/13/2021 2:39:17 PM","CN=RDS Management Servers,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/RDS Management Servers"
"Server Operators","1","Security","DomainLocal","","S-1-5-32-549","","Members can administer domain servers","6/22/2001 1:20:03 AM","5/13/2021 2:39:17 PM","CN=Server Operators,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Server Operators"
"Print Operators","1","Security","DomainLocal","","S-1-5-32-550","","Members can administer domain printers","6/22/2001 1:20:03 AM","5/13/2021 2:39:17 PM","CN=Print Operators,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Print Operators"
"Read-only Domain Controllers","1","Security","Global","","S-1-5-21-1191714633-765097213-697575874-521","","Members of this group are Read-Only Domain Controllers in the domain","2/15/2012 9:44:21 PM","5/13/2021 2:39:17 PM","CN=Read-only Domain Controllers,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Read-only Domain Controllers"
"Domain Controllers","1","Security","Global","","S-1-5-21-1191714633-765097213-697575874-516","","All domain controllers in the domain","6/22/2001 1:20:02 AM","5/13/2021 2:39:17 PM","CN=Domain Controllers,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Domain Controllers"
"SEG - AR Reporting","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-7748","","","8/22/2007 7:26:27 PM","12/20/2022 3:45:02 PM","CN=SEG - AR Reporting,OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Mail Enable Security Groups/SEG - AR Reporting"
"SEG - Company","","Security","Universal","Administrator","S-1-5-21-1191714633-765097213-697575874-1387","","SEG - Company Distribution List","7/2/2001 4:23:37 PM","9/12/2025 5:04:24 PM","CN=SEG - Company,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SEG - Company"
"DnsUpdateProxy","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-1265","","DNS clients who are permitted to perform dynamic updates on behalf of some other clients (such as DHCP servers).","6/22/2001 1:20:02 AM","5/13/2021 2:40:18 PM","CN=DnsUpdateProxy,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/DnsUpdateProxy"
"E&Y Users","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-15586","","","12/27/2012 10:53:28 PM","9/8/2023 5:58:05 PM","CN=E&Y Users,OU=E&Y,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/E&Y/E&Y Users"
"SEG - Wayne","","Security","Global","Administrator","S-1-5-21-1191714633-765097213-697575874-1388","","SEG - Philadelphia Distribution List","7/2/2001 4:31:25 PM","10/31/2025 2:38:29 PM","CN=SEG - Wayne,OU=Distribution Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Distribution Groups/SEG - Wayne"
"DHCP Users","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-1888","","Members who have view-only access to the DHCP service","10/26/2001 7:15:33 PM","5/13/2021 2:39:39 PM","CN=DHCP Users,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/DHCP Users"
"SEG - Corporate","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-6610","","","2/8/2006 3:55:55 PM","3/6/2025 5:24:40 PM","CN=SEG - Corporate,OU=Distribution Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Distribution Groups/SEG - Corporate"
"MTS Trusted Impersonators","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-1088","","Microsoft Transaction Server trusted process identities.","6/22/2001 1:20:02 AM","5/13/2021 2:39:39 PM","CN=MTS Trusted Impersonators,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/MTS Trusted Impersonators"
"SEG - Philadelphia Temp","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-7885","","","6/17/2008 6:53:18 PM","10/31/2025 2:38:29 PM","CN=SEG - Philadelphia Temp,OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Mail Enable Security Groups/SEG - Philadelphia Temp"
"WWW Publishing","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-1160","","Internet / Intranet Content Publishers","6/22/2001 1:20:03 AM","5/13/2021 2:39:39 PM","CN=WWW Publishing,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/WWW Publishing"
